Player,Pos,Age,Tm,G,TRB,AST,STL,BLK,TOV,PTS,ALL-STAR
Marquese Chriss\chrisma01,PF,22,GSW,59,6.2,1.9,0.7,1.1,1.3,9.3,0
Gary Clark\clarkga01,SF-PF,25,TOT,42,2.6,0.4,0.1,0.5,0.2,3.7,0
Gary Clark\clarkga01,PF,25,HOU,18,2.2,0.7,0.1,0.4,0.1,3.9,0
Gary Clark\clarkga01,SF,25,ORL,24,2.9,0.2,0.2,0.6,0.3,3.6,0
Brandon Clarke\clarkbr01,PF,23,MEM,58,5.9,1.4,0.6,0.8,0.9,12.1,0
Jordan Clarkson\clarkjo01,SG,27,TOT,71,2.6,1.9,0.6,0.2,1.4,15.2,0
Jordan Clarkson\clarkjo01,SG,27,CLE,29,2.4,2.4,0.6,0.3,1.3,14.6,0
Jordan Clarkson\clarkjo01,SG,27,UTA,42,2.8,1.6,0.7,0.2,1.4,15.6,0
Nicolas Claxton\claxtni01,C,20,BRK,15,2.9,1.1,0.1,0.5,0.6,4.4,0
Chris Clemons\clemoch01,SG,22,HOU,33,0.9,0.8,0.3,0.2,0.6,4.9,0
Antonius Cleveland\clevean01,SG,25,DAL,11,0.6,0.1,0.1,0.3,0.2,1,0
Amir Coffey\coffeam01,SG,22,LAC,18,0.9,0.8,0.3,0.1,0.4,3.2,0
John Collins\collijo01,PF,22,ATL,41,10.1,1.5,0.8,1.6,1.8,21.6,0
Zach Collins\colliza01,PF,22,POR,11,6.3,1.5,0.5,0.5,1.3,7,0
Mike Conley\conlemi01,PG,32,UTA,47,3.2,4.4,0.8,0.1,2,14.4,0
Pat Connaughton\connapa01,SG,27,MIL,67,4.2,1.6,0.4,0.5,0.8,5.4,0
Quinn Cook\cookqu01,PG,26,LAL,44,1.2,1.1,0.3,0,0.8,5.1,0
Tyler Cook\cookty01,PF-SF,22,TOT,13,1.1,0.1,0.2,0,0.2,1.8,0
Tyler Cook\cookty01,PF,22,CLE,11,0.9,0.1,0.1,0,0.1,1.7,0
Tyler Cook\cookty01,SF,22,DEN,2,2,0,1,0,1,2,0
Robert Covington\covinro01,PF-C,29,TOT,70,6.6,1.3,1.6,1.3,1.5,12.4,0
Robert Covington\covinro01,PF,29,MIN,48,6,1.2,1.7,0.9,1.5,12.8,0
Robert Covington\covinro01,C,29,HOU,22,8,1.5,1.6,2.2,1.4,11.6,0
Allen Crabbe\crabbal01,SG-SF,27,TOT,37,2.1,0.9,0.4,0.1,0.5,4.6,0
Allen Crabbe\crabbal01,SG,27,ATL,28,2.3,1,0.5,0.1,0.4,5.1,0
Allen Crabbe\crabbal01,SF,27,MIN,9,1.3,0.6,0,0,0.6,3.2,0
Torrey Craig\craigto01,SF,29,DEN,58,3.3,0.8,0.4,0.6,0.4,5.4,0
Jamal Crawford\crawfja01,SG,39,BRK,1,0,3,0,0,0,5,0
Jae Crowder\crowdja01,SF-PF,29,TOT,65,5.9,2.5,1.1,0.4,1.1,10.5,0
Jae Crowder\crowdja01,SF,29,MEM,45,6.2,2.8,1,0.3,1.2,9.9,0
Jae Crowder\crowdja01,PF,29,MIA,20,5.4,1.8,1.3,0.5,0.8,11.9,0
Jarrett Culver\culveja01,SG,20,MIN,63,3.4,1.7,0.9,0.6,1.3,9.2,0
Seth Curry\curryse01,SG,29,DAL,64,2.3,1.9,0.6,0.1,1,12.4,0
Stephen Curry\curryst01,PG,31,GSW,5,5.2,6.6,1,0.4,3.2,20.8,0
Troy Daniels\danietr01,SG,28,TOT,47,1.1,0.4,0.2,0.1,0.3,4.3,0
Troy Daniels\danietr01,SG,28,LAL,41,1.1,0.3,0.2,0.1,0.2,4.2,0
Troy Daniels\danietr01,SG,28,DEN,6,1,0.5,0.5,0,0.5,4.3,0
Anthony Davis\davisan02,PF,26,LAL,62,9.3,3.2,1.5,2.3,2.5,26.1,1
Ed Davis\davised01,C,30,UTA,28,3.8,0.4,0.4,0.3,0.5,1.8,0
